Triangulated,Connected,Graph
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,4],[0,1,3,4],[0,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3],[0,1,3,4],[0,1,2,4],[0,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,4],[0,1,4],[0,1,2,3]]"
